salon,distancia,up,down
Lab Animación Digital,189,19.169240009332295,88.84027704508122
Lab Animación Digital,189,8.121811164461034,27.234219645270258
Lab Animación Digital,189,14.847143464622802,29.385943509753265
Lab Animación Digital,189,12.9839036762672,21.894339488535035
Lab Animación Digital,189,11.840721756367428,71.60885071820458
Lab Animación Digital,189,14.193522976441772,65.52279565860358
Lab Animación Digital,189,14.36687280609813,19.84497810580172
Lab Animación Digital,189,14.485417535364698,53.38478298587538
Lab Animación Digital,189,10.085372914092998,5.09700506924049
Lab Animación Digital,189,27.159725628842914,52.00022180949523
Lab Animación Digital,189,54.3124651439541,120.37804368664138
Lab Animación Digital,189,63.07206727150625,97.53743154184218
Lab Animación Digital,189,57.33650068947683,96.12972690109204
Lab Animación Digital,189,46.208393220543044,121.46313283104269
Lab Animación Digital,189,16.153610277898554,132.96089889544035
Lab Animación Digital,189,13.416415400794817,88.2798246739463
Lab Animación Digital,189,92.61494551509564,81.95744837911911
Lab Animación Digital,189,14.909906634195906,65.43279787125557
Lab Animación Digital,189,12.745021691487619,15.553723790178145
Lab Animación Digital,189,15.217658482689334,45.24085289465236
