salon,distancia,up,down
Biblioteca Jerez,189,57.52244434149674,184.60608703743887
Biblioteca Jerez,189,14.119604452073602,91.90515480241486
Biblioteca Jerez,189,14.787382972011166,13.029456197687761
Biblioteca Jerez,189,60.70656239690376,203.31898965783134
Biblioteca Jerez,189,96.31706598937167,133.81573212016787
Biblioteca Jerez,189,89.76894581205535,191.26790515814412
Biblioteca Jerez,189,67.96424091160317,174.22724677576065
Biblioteca Jerez,189,49.0119380943888,156.3872529347324
Biblioteca Jerez,189,91.55114848800885,226.605908094337
Biblioteca Jerez,189,83.78467330496957,232.5122971829916
Biblioteca Jerez,189,87.12059556531656,186.24920137646677
Biblioteca Jerez,189,101.94692891908375,148.15556834638937
Biblioteca Jerez,189,93.28044555755574,189.4978251933692
Biblioteca Jerez,189,102.19310387021288,171.52079873919965
Biblioteca Jerez,189,97.08169837055108,172.10606782524863
Biblioteca Jerez,189,90.67477459660874,157.737396865066
Biblioteca Jerez,189,94.41068519851626,134.75452794644124
Biblioteca Jerez,189,102.61106205219288,142.04739981859305
Biblioteca Jerez,189,100.16813628865528,158.76287068356064
Biblioteca Jerez,189,100.1589278192631,160.47333967837415
Biblioteca Rodin,189,14.914675028019637,16.062220810661245
Biblioteca Rodin,189,32.61099285688408,235.22988726798292
Biblioteca Rodin,189,90.19574518494419,22.01976355973382
Biblioteca Rodin,189,80.63753250732881,186.29679330922784
Biblioteca Rodin,189,14.550169544567385,79.76950265170498
Biblioteca Rodin,189,14.528226639458731,60.452749178010684
Biblioteca Rodin,189,82.94367248738317,179.14010770044777
Biblioteca Rodin,189,15.010415875571738,107.59205436507797
Biblioteca Rodin,189,90.64699545371568,207.6042460736754
Biblioteca Rodin,189,90.7461731364761,199.74894321079816
Biblioteca Rodin,189,30.336084300426055,192.0090145881786
Biblioteca Rodin,189,64.38537202326951,133.75362630844774
Biblioteca Rodin,189,14.389086646780417,10.68578575240307
Biblioteca Rodin,189,14.391595756538281,75.8764360378531
Biblioteca Rodin,189,68.0054137079158,84.18973188318472
Biblioteca Rodin,189,88.10122989965349,81.97516124753446
Biblioteca Rodin,189,73.56713616683494,194.47936855968908
Biblioteca Rodin,189,8.97293604402011,89.23952948756332
Biblioteca Rodin,189,86.67439434901137,65.05587898362252
Biblioteca Rodin,189,13.390612242799167,64.89205367514705
Café Diseño,189,12.434577901637082,111.06695567726058
Café Diseño,189,10.622208638077106,10.804128594782066
Café Diseño,189,46.69969036709106,39.3753543094361
Café Diseño,189,9.463977677876924,17.593462802021435
Café Diseño,189,10.883115556574525,14.969049556588534
Café Diseño,189,56.82945935551767,126.71749223727653
Café Diseño,189,14.449541112340226,62.47377357815493
Café Diseño,189,65.12148562546083,73.60474651519759
Café Diseño,189,12.326858045043226,74.33852591954499
Café Diseño,189,32.73001688412418,115.05626956026039
Café Diseño,189,58.2357405902278,37.269507448509366
Café Diseño,189,11.964395158451174,33.34924755812316
Café Diseño,189,25.13227260533061,114.02454025934438
Café Diseño,189,8.850868431492705,19.880113953194968
Café Diseño,189,12.716686668478586,33.44647173538256
Café Diseño,189,10.285496514909806,24.025116983628426
Café Diseño,189,12.237719268418145,46.43574839253829
Café Diseño,189,55.56064971352913,115.30575495012411
Café Diseño,189,53.88679766807131,166.43901018639593
Café Diseño,189,13.347964346185798,61.70055812841614
CDC A,189,96.52630460341133,146.1000972485144
CDC A,189,85.49288838305976,103.24250977132478
CDC A,189,34.24703191771127,158.20787435876161
CDC A,189,89.03801740365216,199.4227749414358
CDC A,189,80.79980203165742,48.44389075326321
CDC A,189,31.397271043131624,186.35661944027518
CDC A,189,95.21967245165739,125.21941632640302
